name,ingredients
apple strudel (by alex kammerling),"apple juice, apple schnapps liqueur, brown creme de cacao, cinnamon schnapps & goldwasser liqueurs, dutch cacao white creme de cacao, single cream / half-and-half"
apple strudel,"apple juice, apple schnapps liqueur, cinnamon sugar syrup, martini extra dry vermouth, vodka, whisky"
apple sunrise,"avallen calvados, noir de bourgogne cassis, orange juice"
temperance apple mojito (non-alcoholic),"apple juice, lemon juice, lime juice, mint leaves, soda water, sugar syrup"
applesinth,"absinthe, apple juice, apple schnapps liqueur, lime juice, sugar syrup"
apples 'n' pears,"apple juice, avallen calvados, pear & cognac liqueur, vodka"
appily married,"apple juice, grapefruit juice, honey syrup, vodka"
apricot cosmo,"apricot jam, cranberry juice, lime juice, orange bitters, sugar syrup, vodka"
apricot fizz,"apricot brandy liqueur, lime juice, orange juice, soda from siphon"
apricot lady sour,"apricot brandy liqueur, lemon juice, light rum, pasteurised egg white, sugar syrup"
apricot mango cocktail,"apricot brandy liqueur, dry gin, lemon juice, mango puree, orange bitters, sugar syrup"
apricot martini,"angostura aromatic bitters, apricot brandy liqueur, chilled water, dry gin, grenadine syrup, lemon juice"
april shower,"benedictine d.o.m., cognac, orange juice"
apricot sour,"apple juice, apricot brandy liqueur, apricot jam, bourbon whiskey, lemon juice"
aquarius,"cherry heering cherry brandy liqueur, cranberry juice, whisky"
arizona breeze,"cranberry juice, dry gin, grapefruit juice"
arnaud (parisian nights),"dry gin, martini extra dry vermouth, noir de bourgogne cassis"
artlantic,"apple juice, blue curacao, disaronno amaretto, lime juice, spiced rum"
asian ginger cocktail,"root ginger, sake, sugar syrup, vodka"
asian mary,"citroen vodka, lemon juice, root ginger, soy sauce, tomato juice, wasabi paste"
asian pear cocktail,"lemon juice, pear & cognac liqueur, pear juice, poire william eau-de-vie, sake"
assisted suicide,"cola, jagermeister, light rum"
atholl brose,"disaronno amaretto, drambuie liqueur, honey, oat milk / oatmeal water, single cream / half-and-half, whisky"
atlantic breeze,"apricot brandy liqueur, galliano l'autentico liqueur, lemon juice, light rum, pineapple juice"
atomic cocktail,"amontillado sherry, brut champagne, cognac, vodka"
atomic dog,"coconut rum liqueur, green melon liqueur, lemon juice, light rum, pineapple juice"
attitude adjuster,"coffee liqueur, cola, dry gin, lime juice, orange liqueur, triple sec"
aunt agatha,"angostura aromatic bitters, navy rum, orange juice, pineapple juice"
aunt emily,"apricot brandy liqueur, avallen calvados, dry gin, grenadine syrup, orange juice"
