name,ingredients
east village athletic club,"lemon juice, orange liqueur, patron silver blanco tequila, yellow chartreuse liqueur"
eastern raspberry sidecar,"cognac, lemon juice, raspberries, sake, sugar syrup, triple sec"
eastern sin,"angostura aromatic bitters, cherry heering cherry brandy liqueur, pineapple juice, sweet vermouth, triple sec, whisky"
1862,"angostura aromatic bitters, fino sherry, lemon juice, light rum, luxardo maraschino liqueur, pasteurised egg white, sugar syrup"
eighteen '97,"bepi tosolini grappa di moscato, kumquats, merlot red wine, st-germain elderflower liqueur, sugar syrup"
elixir 66,"absinthe, apple juice, apple schnapps liqueur, chilled water, coriander / cilantro leaves, green chartreuse liqueur, lime juice, sugar syrup"
elixirita,"agave syrup, cognac, lime, tequila"
especie,"angostura aromatic bitters, chilled water, difford's falernum liqueur, light rum"
eureka cocktail,"avallen calvados, cherry heering cherry brandy liqueur, lemon juice, sloe gin"
facundo's flare,"bittersweet orange-red aperitivo, light rum, orange juice, pasteurised egg white, peach bitters, vanilla sugar syrup"
falconi,"martini extra dry vermouth, orange bitters, straight rye whiskey, tawny port"
fallen angel,"angostura aromatic bitters, difford's saline solution, dry gin, lemon juice, peppermint pastille creme de menthe, sugar syrup"
fig supreme,"figs, grenadine syrup, lime juice, orange liqueur, patron anejo tequila"
final ward,"green chartreuse liqueur, lemon juice, luxardo maraschino liqueur, straight rye whiskey"
fifth degree,"italian red bitter liqueur, luxardo maraschino liqueur, sweet vermouth, vodka"
fitzgerald,"angostura aromatic bitters, dry gin, lemon juice, sugar syrup"
fizz a la violette,"creme de violette liqueur, lemon juice, pasteurised egg white, portobello old tom gin, single cream / half-and-half, soda from siphon, sugar syrup"
flame of love martini,"fino sherry, orange peel, vodka"
flipping good,"difford's falernum liqueur, egg yolk, rum"
flip williams,"angostura aromatic bitters, bourbon whiskey, egg yolk, poire william liqueur, single cream / half-and-half, sugar syrup"
the formosa,"dry white port, sake"
four leaf clover,"apple juice, clove, honey sugar syrup, light rum, lime juice"
french connection,"cognac, disaronno amaretto"
pastis whisky sour,"angostura aromatic bitters, lemon juice, pasteurised egg white, ricard pastis, sugar syrup, whisky"
frisco sour,"angostura aromatic bitters, benedictine d.o.m., bourbon whiskey, lemon juice, lime juice, orange bitters, pasteurised egg white, sugar syrup"
full monte,"angostura aromatic bitters, brut champagne, dry gin, lemon juice, light rum, luxardo maraschino liqueur, patron silver blanco tequila, sugar syrup, vodka"
fumigator flip,"cherry heering cherry brandy liqueur, egg yolk, sugar syrup, whisky, whisky"
gin daisy #2 (jerry thomas style),"lemon juice, old simon genever, orange liqueur, soda from siphon, sugar syrup"
gin daisy #3 (modern long style),"dry gin, grenadine syrup, lemon juice, soda water"
gin gin,"dry gin, ginger wine"
gin punch #2,"chilled water, lemon juice, luxardo maraschino liqueur, old simon genever, orange juice, pineapple juice, raspberries, sugar syrup"
ginger beer daiquiri,"angostura aromatic bitters, ginger beer, lime juice, sugar syrup"
ginger snap,"angostura aromatic bitters, dry gin, ginger ale, ginger liqueur, lemon juice, triple sec"
golden reign,"galliano l'autentico liqueur, orange liqueur, rum, single cream / half-and-half, sugar syrup"
good hope plantation rum punch,"lime juice, orange curacao liqueur, overproof pot still rum, soda water, triple sec"
goody-goody,"dry gin, dubonnet red, lemon juice, yellow chartreuse liqueur"
grand designs,"dry gin, martini extra dry vermouth, pineapple juice, rosemary sprig, st-germain elderflower liqueur"
grand slam,"martini extra dry vermouth, swedish punsch liqueur, sweet vermouth"
grape cocktail,"green chartreuse liqueur, green grapes, vodka"
grapefruit daiquiri #2 (non-alcoholic),"angostura aromatic bitters, grapefruit juice, lime juice, sugar syrup"
green beetle,"absinthe, agave syrup, pallini limoncello liqueur, tequila"
green melon sour,"green melon liqueur, lemon juice, lime juice"
guardabosques,"green melon liqueur, tequila"
guard's cocktail,"dry gin, orange bitters, orange liqueur, sweet vermouth"
habanero,"drambuie liqueur, honey sugar syrup, light rum, lime juice, orange bitters, pasteurised egg white, red jalapeno/fresno chili deseeded & chopped, root ginger"
hand grenade,"dry gin, green melon liqueur, light rum, pineapple juice, vodka"
he's at home,"bob's peppermint bitters, green chartreuse liqueur, lime juice"
hesitation,"bourbon whiskey, chilled water, lemon juice, swedish punsch liqueur"
hibiscus kiss,"brut champagne, hibiscus flower in syrup, pear flavoured vodka, st-germain elderflower liqueur"
hibiscus margarita,"hibiscus sugar syrup, lime juice, tequila"
highland drum,"angostura aromatic bitters, drambuie liqueur, honey sugar syrup, martini extra dry vermouth, orange juice, speyside single malt scotch whisky"
hobson,"absinthe, sloe gin, triple sec"
hoffman house,"dry gin, martini extra dry vermouth, orange bitters"
honi honi,"bourbon whiskey, lime juice, orgeat syrup, sugar syrup, triple sec"
hoyt's daiquiri,"jagermeister, lime juice, pasteurised egg white, rum, vanilla sugar syrup"
hula hula or hoola-hoola cocktail,"dry gin, orange curacao liqueur, orange juice"
ideal,"dry gin, grapefruit juice, luxardo maraschino liqueur, martini extra dry vermouth, sweet vermouth"
in-seine,"absinthe, bourbon whiskey, cognac, st-germain elderflower liqueur"
indian sunset,"ginger liqueur, green cardamom pods, lime juice, mango puree, sugar syrup, vodka"
indochine,"ginger liqueur, pineapple juice, vodka"
italian sour,"angostura aromatic bitters, galliano l'autentico liqueur, italian red bitter liqueur, lemon juice, liquore strega, pasteurised egg white"
the jagerita,"jagermeister, lime juice, sugar syrup, triple sec"
jalisco flower,"brut champagne, grapefruit juice, st-germain elderflower liqueur, tequila"
jamaican me crazy,"coconut rum liqueur, cranberry juice, grenadine syrup, light rum, lime juice, orange juice, passion fruit juice"
josephine baker,"apricot brandy liqueur, cognac, egg yolk, lemon peel, sugar syrup, tawny port"
judgement day,"absinthe, barsol mosto verde italia pisco, lemon juice, lime juice, pasteurised egg white, sugar syrup"
juniport fizz,"dry gin, lemon juice, soda from siphon, sugar syrup, tawny port"
kangaroo dry martini,"martini extra dry vermouth, orange bitters, vodka"
kanu-no,"cream sherry, oloroso sherry, ruby port, rum"
the lady wears red,"bittersweet orange-red aperitivo, bob's grapefruit bitters, difford's falernum liqueur, fino sherry, light rum, lime juice, martini extra dry vermouth, orange bitters, orange liqueur, sugar syrup, triple sec"
left bank martini,"chardonnay white wine, dry gin, martini extra dry vermouth, st-germain elderflower liqueur"
lekker lekker,"apple juice, bison grass vodka, hazelnut liqueur, lemon juice, sugar syrup"
lemon lime & bitters (non-alcoholic),"angostura aromatic bitters, lemonade, lime juice"
lemon caipirovska,"angostura aromatic bitters, citroen vodka, lemon, sugar syrup"
the leavenworth,"cherry heering cherry brandy liqueur, rum, tiki bitters"
the libertine,"ginger beer, green chartreuse liqueur, kaffir lime flavoured vodka, lime juice, st-germain elderflower liqueur"
little venice,"bourbon whiskey, sake, sweet vermouth"
london scramble,"agave syrup, creme de mure liqueur, lemon juice, lime juice, patron silver blanco tequila"
the long shot,"angostura aromatic bitters, lemon juice, orange curacao liqueur, soda water, sugar syrup, tequila"
lonsdale,"apple juice, basil leaves, dry gin, honey sugar syrup, lemon juice"
looks familiar,"agave syrup, amer picon, angostura aromatic bitters, patron silver blanco tequila, whisky"
lorraine (by joe gilmore),"dry gin, martini extra dry vermouth, orange liqueur"
lorraine,"benedictine d.o.m., chilled water, kirschwasser eau-de-vie, lime juice, sugar syrup, vodka"
love unit,"basil leaves, grapefruit juice, light rum, light rum, lime juice, red bell pepper, sugar syrup"
maca cocktail,"apple juice, cachaca, lime juice, st-germain elderflower liqueur"
maestro,"balsamic vinegar of modena, fraise des bois, maple syrup, orange juice, vodka"
maison charles daiquiri,"chilled water, light rum, lime juice, mint leaves, sugar syrup"
manana daiquiri,"apricot brandy liqueur, chilled water, grenadine syrup, lemon juice, light rum"
manchester special rum punch,"angostura aromatic bitters, grapefruit juice, honey syrup, overproof pot still rum"
margaret duffy,"angostura aromatic bitters, chilled water, cognac, swedish punsch liqueur"
market daiquiri,"light rum, lime juice, mint leaves, orgeat syrup, pear puree"
marmalade sour,"cachaca, lemon juice, orange bitters, orange marmalade, pasteurised egg white"
marti's martini,"bigallet genepi grand tetras, chilled water, galliano l'autentico liqueur, light rum, martini extra dry vermouth"
martinez (london spec. with genever),"antica formula or other well aged sweet vermouth, luxardo maraschino liqueur, martini extra dry vermouth, old simon genever"
martinez (with old tom gin),"angostura aromatic bitters, luxardo maraschino liqueur, martini extra dry vermouth, portobello old tom gin, sweet vermouth"
martinez (with london dry gin),"angostura aromatic bitters, dry gin, luxardo maraschino liqueur, martini extra dry vermouth, sweet vermouth"
martinez (orange),"dry gin, orange bitters, orange curacao liqueur, sweet vermouth"
martini with a spot,"absinthe, dry gin, martini extra dry vermouth"
matador margarita (tommy's style),"agave syrup, difford's margarita bitters, lime juice, pineapple juice, tequila"
mayfair cocktail #2,"apricot brandy liqueur, clove, dry gin, orange juice, pimento dram liqueur"
the mayflower martini,"apple juice, apricot brandy liqueur, dry gin, lemon juice, st-germain elderflower liqueur"
metropole,"cognac, martini extra dry vermouth, orange bitters, peychaud's or other creole-style bitters, sugar syrup"
mezcal margarita,"agave syrup, del maguey vida mezcal, difford's margarita bitters, lime juice, salt, triple sec"
midnight over tennessee,"brown creme de cacao, coffee liqueur, daddy rack tennessee whiskey, peppermint pastille creme de menthe, single cream / half-and-half"
mike romanoff,"apricot brandy liqueur, lime juice, sugar syrup, triple sec, vodka"
milo,"dry gin, peychaud's or other creole-style bitters, raspberries, sugar syrup, triple sec"
mincemeat pie,"apple juice, mincemeat, rum, single cream / half-and-half"
mint julep (mexican style),"cognac, lemon peel, luxardo maraschino liqueur, mint leaves, tawny port"
le minuit,"absinthe, apple juice, orange bitters, sauvignon blanc wine, sugar syrup"
lo mismo,"light rum, soda water"
mojito cocktail,"lime juice, mint leaves, rum, soda water, sugar syrup"
monte carlo,"angostura aromatic bitters, benedictine d.o.m., straight rye whiskey"
the montford,"ambre/amber vermouth, dry gin, lillet blanc, orange bitters"
dry martini (15:1 ratio) montgomery's,"dry gin, martini extra dry vermouth, orange bitters"
moondream,"creme de peche de vigne liqueur, dry gin, manzanilla sherry, martini extra dry vermouth"
moonlight cocktail (gaz regan's),"creme de violette liqueur, dry gin, lemon juice, lime juice, triple sec"
mosquito,"barsol mosto verde italia pisco, lime juice, mint leaves, sugar syrup"
mulata daisy,"brown creme de cacao, fennel seeds, galliano l'autentico liqueur, light rum, lime juice, powdered sugar"
myrtle bank special rum punch,"cherry heering cherry brandy liqueur, lime juice, overproof pot still rum, sugar syrup"
naranja,"cinzano orancio vermouth, light rum, orange bitters, sugar syrup"
negroni sbagliato,"italian red bitter liqueur, manzoni rosa extra dry spumante, sweet vermouth"
negroni spumante,"dry gin, italian red bitter liqueur, manzoni rosa extra dry spumante, sweet vermouth"
negroski,"italian red bitter liqueur, sweet vermouth, vodka"
the neutral ground,"amontillado sherry, angostura aromatic bitters, benedictine d.o.m., straight rye whiskey"
new orleans black,"ginger beer, lime juice, martinique blanc rhum agricole, peychaud's or other creole-style bitters, sugar syrup"
new york flip,"bourbon whiskey, egg, sugar syrup, tawny port"
the ninth ward,"bourbon whiskey, chilled water, difford's falernum liqueur, lime juice, peychaud's or other creole-style bitters, st-germain elderflower liqueur, sugar syrup"
nola daiquiri,"lemon juice, light rum, orange bitters, peychaud's or other creole-style bitters, st-germain elderflower liqueur"
northern sun,"cranberry juice, lime juice, maple syrup, pear juice, root ginger, rum"
noshino martini,"sake, shochu"
nuez daiquiri,"apple juice, light rum, lime juice, nocello walnut liqueur"
oceans 21,"avallen calvados, cranberry juice, orange liqueur"
oooh ginger,"ginger liqueur, martini extra dry vermouth, patron anejo tequila"
old crystal shrine,"japanese blended whisky, orange bitters, peychaud's or other creole-style bitters, white truffle honey"
old cuban,"angostura aromatic bitters, brut champagne, lime juice, mint leaves, rum, sugar syrup"
orange spur,"angostura aromatic bitters, anisette liqueur, bittersweet orange-red aperitivo, vodka"
orchard crush,"avallen calvados, damson jam, lemon juice, sugar syrup"
oriental,"lime juice, orange curacao liqueur, straight rye whiskey, sweet vermouth"
original sin,"absinthe, honey syrup, sake, vodka"
pablo alvarez de canas special,"cherry heering cherry brandy liqueur, cognac, fino sherry, lemon peel, sugar syrup"
papa bear,"cognac, honey liqueur, honey sugar syrup, lemon juice"
elderflower manhattan,"angostura aromatic bitters, bourbon whiskey, martini extra dry vermouth, st-germain elderflower liqueur"
patrick gavin duffy's punch,"benedictine d.o.m., cognac, orange juice, sugar syrup"
el pedroni,"italian red bitter liqueur, punt e mes or other full-bodied vermouth, tequila"
penicillin cocktail,"ginger liqueur, honey syrup, lemon juice, whisky, whisky"
pepin rivero special,"dry gin, dutch cacao white creme de cacao, milk"
perfect lady,"creme de peche de vigne liqueur, dry gin, lemon juice, pasteurised egg white, sugar syrup"
perfect regent,"cognac, martini extra dry vermouth, noir de bourgogne cassis, sweet vermouth"
pernelle,"lemon juice, poire william eau-de-vie, soda water, st-germain elderflower liqueur, vodka"
pineapple fix,"lemon juice, pineapple juice, rum, sugar syrup"
port no.2,"angostura aromatic bitters, orange bitters, orange curacao liqueur, tawny port"
port flip,"cognac, egg, sugar syrup, tawny port"
port sangaree,"chilled water, sugar syrup, tawny port"
prairie oyster,"black pepper, cognac, egg yolk, hot pepper sauce, malt vinegar, salt, tomato juice, worcestershire sauce"
pre siesta,"bittersweet orange-red aperitivo, orange bitters, tequila, triple sec"
prestige cocktail,"difford's falernum liqueur, lime juice, martini extra dry vermouth, pineapple juice, rum"
purgatory,"benedictine d.o.m., chilled water, green chartreuse liqueur, straight rye whiskey"
the purl,"british bitter ale, portobello old tom gin"
pyramid punch,"barsol mosto verde italia pisco, grapefruit juice, pimento dram liqueur, pineapple juice, st-germain elderflower liqueur"
quince mustard margarita,"black pepper, lime juice, quince mustard jam, sugar syrup, tequila, triple sec"
the quingenti,"apple schnapps liqueur, cognac, martini extra dry vermouth, sugar syrup"
rac cocktail,"dry gin, grenadine syrup, martini extra dry vermouth, orange bitters, sweet vermouth"
ranglum,"dark/black/blackstrap rum, difford's falernum liqueur, lime juice, sugar syrup, white overproof rum"
relajese con facundo,"angostura aromatic bitters, grapefruit juice, lavender sugar syrup, light rum"
reversed vesper & tonic 'martini',"becherovka liqueur, dry gin, grenadine syrup, kina aromatised wine, lillet blanc, sugar syrup, tonic water, vodka"
reverse martini,"dry gin, martini extra dry vermouth"
rhinestone cowgirl,"bourbon whiskey, cranberry juice, lemon juice, noir de bourgogne cassis, sugar syrup"
richmond gimlet,"chilled water, dry gin, lime juice, mint leaves, sugar syrup"
rose-hyp martini,"dry gin, martini extra dry vermouth, rose petal liqueur, st-germain elderflower liqueur"
royal gingersnap,"angostura aromatic bitters, canadian blended whisky, ginger liqueur, orange juice, orange marmalade, syrup from luxardo maraschino cherries"
rum amandine,"absinthe, chilled water, light rum, lime juice, luxardo maraschino liqueur, orange flower/blossom water, orgeat syrup"
rum swizzle,"angostura aromatic bitters, demerara / dark muscovado sugar syrup, difford's falernum liqueur, lemon juice, lime juice, rum"
rusty,"amontillado sherry, rum, sugar syrup, whisky"
sake martini,"dry gin, martini extra dry vermouth, sake"
sanctuary,"amer picon, dubonnet red, triple sec"
santiago #2,"agave syrup, lemon juice, light rum, pallini limoncello liqueur, pomegranate juice, raspberries"
santiago al anochecer,"agave syrup, grapefruit juice, italian red bitter liqueur, light rum"
saratoga cocktail #2,"angostura aromatic bitters, chilled water, cognac, lemon juice, luxardo maraschino liqueur, pineapple juice"
satin sheet,"agave syrup, chilled water, difford's falernum liqueur, lime juice, tequila"
say say,"cherry tomato, grenadine syrup, lemon juice, light rum, st-germain elderflower liqueur"
sentimental melody,"cranberry juice, grapefruit preserve, light rum, lime juice, pomegranate juice, st-germain elderflower liqueur, triple sec"
shandygaff,"budweiser budvar, ginger ale"
shark's tooth (by don beach),"jamaican aged blended rum, lime juice, pineapple juice, rum, sugar syrup, syrup from luxardo maraschino cherries"
sherry sour,"lemon juice, palo cortado sherry, pasteurised egg white, sugar syrup"
smoke of scotland,"cynar or other carciofo amaro, martini extra dry vermouth, st-germain elderflower liqueur, whisky"
smokin rose,"angostura aromatic bitters, apple juice, light rum, lime juice, rose petal liqueur, sugar syrup, whisky"
smokey joe,"cognac, sake, sauternes dessert wine, whisky"
smoking stallion,"fresh dill, maple syrup, martini extra dry vermouth, vodka, whisky"
sol ardiente,"light rum, lime juice, pineapple juice, pink peppercorns, soda water, sugar syrup"
south side fizz,"dry gin, lemon juice, lime juice, mint leaves, soda from siphon, sugar syrup"
spitfire,"cognac, lemon juice, pasteurised egg white, sauvignon blanc wine, sugar syrup"
the stig,"avallen calvados, barsol mosto verde italia pisco, sauvignon blanc wine, st-germain elderflower liqueur"
stone fence,"medium dry apple cider, straight rye whiskey"
suffering bastard,"angostura aromatic bitters, cognac, dry gin, ginger beer, lime cordial, lime juice"
suppertime daiquiri,"light rum, lime juice, rhubarb & orange preserve"
swedish rum punch,"chilled water, difford's daiquiri bitters, lime juice, rum, swedish punsch liqueur"
tenner martini,"bob's grapefruit bitters, dry gin, martini extra dry vermouth"
giblet (tequila gimlet),"del maguey vida mezcal, lemon juice, lime cordial, lime juice, patron silver blanco tequila, sugar syrup"
thai red daiquiri,"basil leaves, coconut water, lime juice, red bell pepper, rum, sugar syrup"
two-one-two (212),"bittersweet orange-red aperitivo, grapefruit juice, tequila"
union club cocktail,"bourbon whiskey, italian red bitter liqueur, luxardo maraschino liqueur, orange juice"
valencia martini,"dry gin, fino sherry"
vesper dry martini,"dry gin, kina aromatised wine, lillet blanc, vodka"
victoria's secret,"apple juice, bottlegreen cox's apple and plum cordial, lemon juice, light rum, mango puree, orange juice, passion fruit syrup, sloe gin"
vieux mot,"dry gin, lemon juice, st-germain elderflower liqueur, sugar syrup"
waldorf cocktail no.1,"absinthe, orange bitters, straight rye whiskey, sweet vermouth"
waldorf cocktail no.2,"dry gin, lime juice, swedish punsch liqueur"
walnut alexander,"cognac, nocello walnut liqueur, pasteurised egg white, single cream / half-and-half, sugar syrup"
warsaw pact,"apple juice, bison grass vodka, disaronno amaretto, mint leaves"
watermelon cooler,"cranberry juice, green melon liqueur, light rum, lime juice"
whiskey daisy no.2,"bourbon whiskey, honey syrup, lemon juice, orange liqueur, soda water"
white cargo,"chardonnay white wine, dry gin, vanilla ice-cream"
wild blossom,"cranberry juice, dry gin, grapefruit juice, st-germain elderflower liqueur"
will of alan,"difford's falernum liqueur, lime juice, old-fashioned / old time bitters, pasteurised egg white, pineapple juice, rum"
yokohama,"absinthe, dry gin, grenadine syrup, orange juice, vodka"
you've got mail,"brut champagne, cachaca, honey sugar syrup, lime juice, orange juice, sugar syrup"
zac's daiquiri,"apple juice, lemon juice, rum, sugar syrup"
zee dee,"amontillado sherry, apple juice, rum"
a.b.c. shot,"cognac, disaronno amaretto, irish cream liqueur"
brunswick,"claret red wine, lemon juice, straight rye whiskey, sugar syrup"
bull shot,"beef bouillon, black pepper, hot pepper sauce, lemon juice, salt, vodka, worcestershire sauce"
corpse reviver no.2 (duffy's recipe),"absinthe, dry gin, lemon juice, swedish punsch liqueur, triple sec"
daiquiri elixir,"chilled water, clement sirop de canne, green chartreuse liqueur, light rum, lime juice"
daisy cutter martini,"martini extra dry vermouth, mint leaves, st-germain elderflower liqueur, vodka, yellow chartreuse liqueur"
d'artagnan,"armagnac brandy, brut champagne, orange juice, orange liqueur, sugar syrup"
de la louisiane #1,"angostura aromatic bitters, benedictine d.o.m., bourbon whiskey, chilled water"
de la louisiane #2 (equal parts bourbon),"absinthe, benedictine d.o.m., bourbon whiskey, peychaud's or other creole-style bitters, sweet vermouth"
de la louisiane #3,"bourbon whiskey, chilled water, dubonnet red, peychaud's or other creole-style bitters, triple sec"
death by chocolate,"brown creme de cacao, chocolate ice-cream, irish cream liqueur, vodka"
deauville,"avallen calvados, cognac, lemon juice, sugar syrup, triple sec"
delmarva cocktail no.1,"bourbon whiskey, creme de menthe, lemon juice, martini extra dry vermouth"
delmarva cocktail no.2,"bourbon whiskey, dutch cacao white creme de cacao, lemon juice, martini bianco vermouth"
diki-diki,"avallen calvados, grapefruit juice, swedish punsch liqueur"
dingo,"bourbon whiskey, disaronno amaretto, grenadine syrup, lemon juice, light rum, orange juice, sugar syrup"
doctor no.2,"lime juice, swedish punsch liqueur"
dolores #2,"cherry heering cherry brandy liqueur, cognac, dutch cacao white creme de cacao, pasteurised egg white"
dorothy parker,"brut champagne, citroen vodka, framboise de ronce, lemon juice, triple sec"
dream cocktail,"absinthe, cognac, orange curacao liqueur, pasteurised egg white, sugar syrup"
dubliner cocktail,"irish whiskey, orange bitters, orange liqueur, sweet vermouth"
east india house,"cognac, orange bitters, pineapple juice, rum, triple sec"
elder & wiser,"apple juice, bourbon whiskey, st-germain elderflower liqueur"
elder aviator,"chilled water, dry gin, lemon juice, luxardo maraschino liqueur, st-germain elderflower liqueur"
elder fashioned,"bourbon whiskey, orange bitters, st-germain elderflower liqueur, sugar syrup"
elder sour,"lime juice, orange bitters, pasteurised egg white, st-germain elderflower liqueur"
elderflower cosmo,"lime juice, pineapple juice, st-germain elderflower liqueur, vodka"
elderflower daiquiri,"chilled water, light rum, lime juice, st-germain elderflower liqueur"
elderflower manhattan,"angostura aromatic bitters, bourbon whiskey, martini extra dry vermouth, st-germain elderflower liqueur"
elderflower martini #2,"bison grass vodka, martini extra dry vermouth, st-germain elderflower liqueur, vodka"
elderflower mojito,"light rum, lime juice, mint leaves, st-germain elderflower liqueur"
elk martini,"dry gin, la vieille prune plum brandy, martini extra dry vermouth"
elysian,"angostura aromatic bitters, avallen calvados, maple syrup, martini extra dry vermouth, peychaud's or other creole-style bitters, sweet vermouth"
empire cocktail,"apricot brandy liqueur, avallen calvados, chilled water, dry gin"
encantado,"cognac, framboise de ronce, lime juice, peachtree peach schnapps, tequila"
english breakfast cocktail,"black tea, chilled water, dry gin, lemon juice, st-germain elderflower liqueur"
english channel,"benedictine d.o.m., earl grey tea, orange liqueur"
every-body's irish cocktail,"chilled water, green chartreuse liqueur, irish whiskey, peppermint pastille creme de menthe"
fallen leaves,"avallen calvados, cognac, martini extra dry vermouth, sweet vermouth"
fat tire,"nardini amaro, orange juice, pineapple juice, rum"
feather duster crusta,"avallen calvados, grapefruit juice, grenadine syrup, lemon juice, luxardo maraschino liqueur, passion fruit syrup, peychaud's or other creole-style bitters"
daiquiri no.2 (el floridita style),"dutch cacao white creme de cacao, grenadine syrup, light rum, lime juice, sweet vermouth"
flower power martini,"creme de violette liqueur, dry gin, martini extra dry vermouth, st-germain elderflower liqueur"
fontainebleau special,"anisette liqueur, cognac, martini extra dry vermouth"
french 77,"brut champagne, lemon juice, st-germain elderflower liqueur"
french monkey,"apple juice, soda water, st-germain elderflower liqueur, whisky"
froupe cocktail,"benedictine d.o.m., boker's bitters, cognac, sweet vermouth"
fruit pastel,"apple schnapps liqueur, citroen vodka, lime juice, parfait amour liqueur, sugar syrup"
fuego manzana no.2,"apple juice, apple schnapps liqueur, lime juice, red jalapeno/fresno chili deseeded & chopped, sugar syrup, tequila"
g & tea,"black tea, dry gin, st-germain elderflower liqueur, tonic water"
gansevoort fizz,"drambuie liqueur, lemon juice, peychaud's or other creole-style bitters, rum, soda water"
gauguin,"lemon juice, light rum, lime juice, passion fruit syrup"
geisha mar-tea-knee,"dry gin, green tea liqueur, jasmine tea"
gin atomic,"basil leaves, dry gin, lemon bitters, lemon juice, st-germain elderflower liqueur, tonic water"
glad eye cocktail,"absinthe, chilled water, creme de menthe"
glenn's bride,"angostura aromatic bitters, bourbon whiskey, rose water, st-germain elderflower liqueur"
gloom chaser (embury),"absinthe, dry gin, grenadine syrup, martini extra dry vermouth"
le grand feu,"chai tea, cognac, irish cream liqueur, vanille de madagascar"
grappacino,"bepi tosolini grappa di moscato, disaronno amaretto, espresso coffee, sugar syrup"
grasshopper,"dutch cacao white creme de cacao, peppermint pastille creme de menthe, single cream / half-and-half"
green dragon,"chilled water, dry gin, lemon juice, mentzendorff kummel liqueur, peach bitters, peppermint pastille creme de menthe"
green glazier,"angostura aromatic bitters, chilled water, cognac, dutch cacao white creme de cacao, green chartreuse liqueur"
green horn,"green melon liqueur, pasteurised egg white, pineapple juice, rum"
green tea cocktail #2,"dry gin, green tea, green tea liqueur, martini extra dry vermouth"
greenbelt,"barsol mosto verde italia pisco, brut champagne, green grapes, st-germain elderflower liqueur"
gun club punch no.1,"grenadine syrup, jamaican aged blended rum, light rum, lime juice, orange curacao liqueur, pineapple juice, sugar syrup"
gypsy #1,"dry gin, green chartreuse liqueur, lime juice, st-germain elderflower liqueur"
haydenistic,"difford's falernum liqueur, st-germain elderflower liqueur, vodka"
head shot,"black sambuca liqueur, green chartreuse liqueur"
hearst martini,"angostura aromatic bitters, dry gin, orange bitters, sweet vermouth"
hemingway martini,"grapefruit juice, martini extra dry vermouth, oranje vodka, syrup from luxardo maraschino cherries, vanille de madagascar"
the holland house (genever-based),"lemon juice, luxardo maraschino liqueur, martini bianco vermouth, old simon genever"
honolulu cocktail no.2,"benedictine d.o.m., chilled water, dry gin, luxardo maraschino liqueur, orange bitters"
hop toad #3,"apricot brandy liqueur, chilled water, lemon juice"
the horseshoe sling,"benedictine d.o.m., brut champagne, cherry heering cherry brandy liqueur, lime juice, pineapple juice, tequila"
hummingbird,"banana, banana liqueur, coffee liqueur, cream of coconut, light rum"
hurricane (by chris mcmillian),"angostura aromatic bitters, dark/black/blackstrap rum, galliano l'autentico liqueur, light rum, lime juice, orange juice, passion fruit syrup, pineapple juice"
hypnotic margarita,"hpnotiq tropical liqueur, lime juice, patron silver blanco tequila, triple sec"
irresistible,"benedictine d.o.m., chilled water, lemon juice, light rum, sweet vermouth"
italian margarita,"disaronno amaretto, lime juice, tequila, triple sec"
jack frost #1,"daddy rack tennessee whiskey, drambuie liqueur, grenadine syrup, lemon juice, orange juice"
jack maples,"avallen calvados, maple syrup, orange bitters"
jambalaya,"grenadine syrup, lime juice, orange juice, peachtree peach schnapps, tequila"
jasmine & elderflower cocktail,"jasmine tea, martini extra dry vermouth, st-germain elderflower liqueur, vodka"
jean lafitte cocktail,"absinthe, egg yolk, peychaud's or other creole-style bitters, rum, sugar syrup, triple sec"
jewel cocktail,"chilled water, dry gin, green chartreuse liqueur, orange bitters, sweet vermouth"
john daly,"black tea, citroen vodka, lemon juice, sugar syrup, triple sec"
katrina cocktail,"absinthe, apple juice, coffee liqueur, framboise de ronce, tequila"
king cole cocktail,"chilled water, fernet liqueur, rye whiskey, sugar syrup"
knicker dropper glory,"hazelnut liqueur, lemon juice"
l'amour en fuite,"absinthe, dry gin, martini extra dry vermouth, st-germain elderflower liqueur"
last straw,"apple juice, avallen calvados, medium dry apple cider, st-germain elderflower liqueur"
long beach iced tea,"coffee liqueur, cranberry juice, dry gin, light rum, lime juice, sugar syrup, tequila, vodka"
lucien gaudin,"dry gin, italian red bitter liqueur, martini extra dry vermouth, triple sec"
the mackinnon,"drambuie liqueur, lemon juice, rum"
marie rose,"dry gin, green grapes, lime juice, rosemary sprig, st-germain elderflower liqueur"
parisien mojito,"light rum, lime juice, mint leaves, st-germain elderflower liqueur"
mood indigo,"chilled water, cognac, creme de violette liqueur, dry gin, pasteurised egg white, sugar syrup"
moonlight cocktail (harry craddock's recipe),"dry gin, grapefruit juice, kirschwasser eau-de-vie, sauvignon blanc wine"
mother rum,"dutch cacao white creme de cacao, maple syrup, rum"
mountain,"bourbon whiskey, martini extra dry vermouth, pasteurised egg white, sweet vermouth"
nathalia,"banana liqueur, cognac, orange bitters, yellow chartreuse liqueur"
neal's barbados cosmopolitan,"cranberry juice, lime juice, rum, triple sec"
nuclear daiquiri,"chilled water, difford's falernum liqueur, green chartreuse liqueur, lime juice, white overproof rum"
obituary,"absinthe, dry gin, martini extra dry vermouth"
